Title,Video ID,Published At,Keyword,Likes,Comments,Views,avg_comment_likes,total_comment_likes,num_comments,avg_sentiment,pos_comments,neg_comments,neu_comments,year,month,dayofweek,is_weekend,video_age_days,title_len_chars,title_len_words,title_exclamations,title_questions,title_emojis,title_upper_words,title_uppercase_ratio,title_has_numbers,likes_per_1000_views,comments_per_1000_views,comments_to_likes_ratio,share_pos_comments,share_neg_comments,share_neu_comments,kw_animals,kw_apple,kw_asmr,kw_bed,kw_biology,kw_business,kw_chess,kw_cnn,kw_computer science,kw_crypto,kw_cubes,kw_data science,kw_education,kw_finance,kw_food,kw_game development,kw_gaming,kw_google,kw_history,kw_how-to,kw_interview,kw_literature,kw_lofi,kw_machine learning,kw_marvel,kw_mathchemistry,kw_minecraft,kw_movies,kw_mrbeast,kw_mukbang,kw_music,kw_news,kw_nintendo,kw_physics,kw_reaction,kw_sat,kw_sports,kw_tech,kw_trolling,kw_tutorial,kw_xbox,log_Views,log_Likes,log_Comments,log_total_comment_likes,log_avg_comment_likes,Viral
I Paid 4 Game Developers on Fiverr to Make the Same Game,bbTGeRMy8oQ,2022-05-11,game development,193795,19579,6478696,731.6,7316,10,1.8,8,0,2,2022,5,2,0,105,56,12,0,0,0,0,0.18181818181818182,1,29.91265526272571,3.0220587599726856,0.10102943832400217,0.8,0.0,0.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.6840299678622,12.174561338390918,9.8822639160845,8.89795568688403,6.596599850344714,1
I Wish I Had Known This Before I Started Unity Game Development...,286SGzpUx9o,2022-04-26,game development,4597,263,107917,126.6,1266,10,1.3,5,2,3,2022,4,1,0,120,66,12,0,0,0,0,0.23076923076923078,0,42.597551822233754,2.4370581094730213,0.057211224711768545,0.5,0.2,0.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.589126958463805,8.433376705323127,5.575949103146316,7.144407180321139,4.848900370910689,0
Remaking My First Game! | Devlog #1,OU3B3D-52us,2020-08-24,game development,54822,1361,1419701,671.6,6716,10,1.7,7,0,3,2020,8,0,0,730,35,6,1,0,0,0,0.2,1,38.61517319491921,0.9586525613491855,0.024825799861369523,0.7,0.0,0.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.165957548399,10.911865092912526,7.216709486709457,8.812396905266864,6.5111507993061695,0
Best Game in 24 Hours Wins $0.01 - Game Development Challenge,fcfv1KJkTGo,2022-06-08,game development,374,21,6573,70.1,701,10,1.4,5,1,4,2022,6,2,0,77,61,11,0,0,0,0,0.16279069767441862,1,56.89943709113039,3.1948881789137378,0.05614973262032086,0.5,0.1,0.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.790877754224164,5.926926025970411,3.091042453358316,6.553933404025811,4.264087336809195,0
How I Started Making Games with No Experience,DyVRjp0Nf7w,2020-07-22,game development,1218,99,15426,1044.4,10444,10,1.4,7,3,0,2020,7,2,0,763,45,8,0,0,0,0,0.18421052631578946,0,78.95760404511863,6.417736289381563,0.0812807881773399,0.7,0.3,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.64387450001194,7.105786129481271,4.605170185988092,9.253878673990666,6.952154866278821,0
300 DAYS of Game Development in 3 Minutes,ez_-GKJafMU,2022-08-01,game development,169994,5444,2853947,1.6,16,10,1.8,8,0,2,2022,8,0,0,23,41,8,0,0,0,1,0.23333333333333334,1,59.56452590044595,1.9075336717885791,0.03202465969387155,0.8,0.0,0.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.864213856810885,12.04352430383516,8.602453035367061,2.833213344056216,0.9555114450274363,0
The Dark Side Of Game Development,L9VXp6vGc58,2022-08-16,game development,11283,656,176919,5.5,55,10,1.8,9,1,0,2022,8,1,0,8,33,6,0,0,0,0,0.21428571428571427,0,63.774947857494105,3.70791153013526,0.05814056545245059,0.9,0.1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.083452931982263,9.331141072121888,6.48768401848461,4.02535169073515,1.8718021769015913,0
How Making Indie Games Changed My Life,Y3Rs1z7it5M,2020-03-18,game development,79849,4880,2475429,2306.9,23069,10,1.7,8,1,1,2020,3,2,0,889,38,7,0,0,0,0,0.21875,0,32.256631072836264,1.9713754666362882,0.061115355233002294,0.8,0.1,0.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.721924676268076,11.287905153643159,8.493105395887147,10.0462883511678,7.744093299132999,0
25 Game Dev Tips for Beginners - Tips &amp; Tricks,sVVn1C3F87A,2022-03-30,game development,7774,201,165986,98.4,984,10,1.4,6,2,2,2022,3,2,0,147,50,9,0,0,0,0,0.16666666666666666,1,46.835275264178904,1.2109455014278312,0.02585541548752251,0.6,0.2,0.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.019664751019025,8.958668737047434,5.308267697401205,6.892641641172089,4.599152113662528,0
I Paid Game Developers on Fiverr to Make the Same Game,I9G6xJTUCHs,2021-07-25,game development,5009,325,67619,2202.5,22025,10,1.0,2,2,6,2021,7,6,1,395,54,11,0,0,0,0,0.18181818181818182,0,74.07681273014981,4.806341412916488,0.06488321022160112,0.2,0.2,0.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.121659076261876,8.51919119407891,5.786897381366708,9.999978852724889,7.697802284282042,0
I Tried Learning Game Development In One Week,cFyBbDj9gvY,2021-12-21,game development,17967,1042,470123,29.7,297,10,1.4,6,2,2,2021,12,1,0,246,45,8,0,0,0,0,0.21052631578947367,0,38.217657932073095,2.2164412292102282,0.057995213446874826,0.6,0.2,0.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.060751768676518,9.796347676978224,6.949856455000773,5.697093486505405,3.4242626545931514,0
5 Steps To Start Making Games (in 2021),0FTlopQl0h0,2021-08-23,game development,46566,3491,1732100,77.0,770,10,1.6,6,0,4,2021,8,0,0,366,39,8,0,0,0,0,0.2,1,26.88412909185382,2.015472547774378,0.0749688614010222,0.6,0.0,0.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.364845680492078,10.748647414747458,8.158229916959494,6.647688373563329,4.356708826689592,0
